ATTEMPT NO 2,
63.93098, 58.33307
64.43217, 60.68964
64.93306, 59.70291
65.43488, 61.86405
65.93564, 61.23669
66.43631, 59.11704
66.93934, 58.97846
67.44123, 59.35569
67.94328, 62.25197
68.44642, 61.62932
68.95161, 61.94233
69.45251, 61.95061
69.95316, 61.32732
70.45518, 61.20202
70.95789, 61.49935
71.45856, 61.79669
71.95898, 62.11926
72.46314, 62.16918
72.96503, 59.97345
73.46674, 60.34753
73.97386, 58.14704
74.48303, 58.45908
74.98088, 58.49665
75.48363, 58.38319
75.98531, 60.36563
76.48669, 58.1907
76.99256, 58.22578
77.49329, 56.36739
77.99626, 56.38992
78.49763, 52.08721
78.998, 51.9316
79.50198, 45.35764
80.00961, 45.39899
80.50715, 45.51103
81.01269, 49.73419
81.51663, 48.88861
82.02003, 48.40761
82.52417, 50.64288
83.02506, 53.44949
83.52632, 56.01777
84.03173, 60.69154
84.53333, 58.83452
85.03711, 61.34834
85.53798, 60.59975
86.04862, 62.59868
86.54774, 62.25818
87.05157, 60.5279
87.55579, 60.9079
88.06456, 61.05613
88.56634, 63.05465
89.07201, 63.09295
89.5743, 63.45996
90.07442, 63.15377
90.57816, 62.85798
91.08285, 62.89926
91.58325, 63.26057
92.0835, 63.57353
92.58386, 63.52953
93.08712, 63.55523
93.59123, 62.95899
94.09396, 60.70414
94.59454, 60.72535
95.09544, 58.47124
95.59747, 60.68964
96.10067, 58.80413
96.60241, 61.34109
97.11286, 61.52818
97.61566, 63.7464
98.1163, 61.50953
98.61732, 61.87084
99.11948, 61.89335
99.62059, 59.57625
100.1213, 53.04021
100.6247, 50.75063
101.1259, 48.34733
101.6273, 52.88985
102.1327, 47.75665
102.6329, 45.29974
103.1357, 45.11013
103.6374, 47.41206
104.138, 54.13754
104.6401, 59.06136
105.1426, 59.44029
105.6461, 62.0318
106.1514, 61.63898
106.6523, 59.45621
107.1527, 61.27369
107.6538, 59.05066
108.155, 61.26504
108.6586, 60.59523
109.1597, 62.69688
109.6618, 62.71825
110.1637, 62.95986
110.6645, 62.97211
111.1654, 62.73369
111.6668, 63.43955
112.1711, 63.47039
112.6716, 63.77794
113.1739, 63.79561
113.6755, 64.14372
114.1782, 63.44669
114.6809, 63.45061
115.181, 60.89864
115.6842, 61.23464
116.1852, 58.10243
116.6862, 60.32712
117.1954, 60.67403
117.7004, 63.57561
118.2063, 63.92188
118.7186, 63.58574
119.2175, 58.77062
119.718, 58.77681
120.2193, 58.78304
120.722, 54.40703
121.2322, 52.20467
121.7349, 52.31233
122.2353, 49.91598
122.7358, 47.87211
123.2367, 45.5154
123.7394, 42.907
124.2424, 44.99732
124.7431, 45.31263
125.2444, 43.19471
125.745, 52.781
126.2451, 55.02792
126.7523, 59.49015
127.2526, 61.50364
127.7555, 63.39177
128.258, 62.6996
128.76, 63.0456
129.2622, 62.74931
129.7637, 60.4894
130.2639, 60.49041
130.7673, 60.08161
131.2678, 62.58546
131.7765, 62.19115
132.2771, 62.19115
132.7789, 62.19115
133.2791, 60.55603
133.7813, 60.5071
134.2845, 60.5221
134.786, 62.04587
135.2914, 62.37609
135.7934, 62.37975
136.2937, 60.53798
136.796, 57.97405
137.2995, 57.32088
137.8004, 59.53701
138.3027, 62.08597
138.8066, 62.77792
139.3138, 63.11084
139.8161, 63.11692
140.3167, 63.1231
140.8172, 60.45108
141.3188, 58.24503
141.8195, 55.53669
142.3223, 55.87664
142.8237, 58.09111
143.3258, 55.70047
143.8259, 53.13136
144.3335, 50.71364
144.8371, 41.7742
145.3373, 43.85517
145.8388, 41.57587
146.3392, 46.52595
146.8421, 53.65116
147.344, 56.16059
147.845, 60.26537
148.3476, 58.06234
148.8535, 58.06404
149.3552, 58.36326
149.8559, 58.07146
150.3572, 60.15454
150.858, 60.25071
151.3612, 62.86304
151.8618, 63.19744
152.362, 60.42604
152.8631, 60.20928
153.3657, 60.214
153.8732, 63.35907
154.3742, 63.35696
154.8756, 63.36139
155.3762, 62.99544
155.8794, 63.31586
156.3808, 63.31593
156.8845, 61.43539
157.3872, 59.23939
157.8923, 58.23636
158.3933, 57.90995
158.8959, 57.91261
159.3986, 58.24607
159.9024, 61.11328
160.4044, 61.11918
160.9058, 61.16595
161.4066, 63.61334
161.9126, 58.88532
162.4132, 58.8917
162.9145, 56.35751
163.4182, 56.36824
163.9198, 53.80978
164.4204, 56.35164
164.9225, 56.36892
165.427, 55.69935
165.9276, 48.91089
166.4325, 44.44554
166.9348, 42.83397
167.4352, 47.34586
167.9387, 51.75027
168.4416, 53.5133
168.9448, 55.84249
169.4521, 53.71597
169.9535, 56.42717
170.4547, 56.40443
170.9561, 57.93821
171.458, 57.98488
171.9603, 60.19558
172.4608, 60.24975
172.9628, 56.69907
173.4659, 56.70399
173.9727, 57.0248
174.4763, 59.8157
174.9767, 60.37109
175.4782, 60.93412
175.9791, 61.2845
176.4859, 60.65152
176.9967, 60.65576
177.4966, 60.65881
177.999, 59.11285
178.4995, 58.79787
179.0024, 58.14053
179.503, 58.14471
180.0063, 58.13894
180.5123, 54.0956
181.0149, 56.36607
181.5161, 58.58693
182.0181, 63.35562
182.522, 61.1581
183.0223, 61.16838
183.5234, 61.17554
184.0246, 58.98426
184.5251, 56.38809
185.0251, 56.41021
185.5271, 56.19963
186.0317, 53.6591
186.5317, 53.92597
187.0325, 47.62102
187.5325, 45.2313
188.0359, 45.11581
188.5365, 51.74076
189.0365, 51.93216
189.5383, 56.56252
190.0411, 49.66948
190.5438, 51.86723
191.0453, 49.25914
191.5514, 53.67008
192.0541, 53.6862
192.5558, 58.28384
193.0572, 57.99852
193.5676, 55.24221
194.066, 54.73547
194.5671, 54.4943
195.0715, 59.16988
195.5739, 59.88652
196.0741, 60.70479
196.5751, 61.36312
197.0758, 60.7065
197.5784, 61.13911
198.0795, 61.17932
198.5813, 61.89804
199.0815, 59.7767
199.5815, 59.12001
200.0846, 56.88777
200.5853, 56.97183
201.0856, 57.60603
201.5863, 55.40345
202.0924, 52.87589
202.5937, 52.89903
203.0953, 50.7222
203.5964, 55.47309
204.0972, 57.72577
204.5973, 59.95809
205.0989, 59.99112
205.6005, 59.75397
206.1011, 59.06409
206.6042, 58.79144
207.1112, 54.76664
207.6112, 53.29527
208.1125, 51.4525
208.6185, 50.97443
209.1143, 48.79824
209.6164, 53.21147
210.1171, 57.56639
210.6189, 55.28809
211.1192, 53.45448
211.6221, 48.79972
212.1244, 50.83711
212.6267, 53.45024
213.1322, 53.52826
213.6344, 55.37051
214.1345, 57.2876
214.6373, 59.54039
215.1385, 59.59342
215.6404, 61.1437
216.1435, 63.29374
216.6464, 62.92451
217.1475, 62.98091
217.653, 62.31276
218.1534, 60.20747
218.6541, 60.48277
219.1561, 60.86533
219.6569, 63.78489
220.1581, 63.85891
220.6593, 63.48719
221.1623, 60.9423
221.6635, 61.29428
222.165, 61.92218
222.6671, 60.12196
223.1738, 58.30656
223.6745, 55.71729
224.1755, 60.17679
224.6765, 60.19496
225.1783, 62.83599
225.6814, 62.87502
226.1815, 62.92997
226.6847, 64.77706
227.1864, 64.14773
227.6933, 61.96521
228.1956, 62.00359
228.6987, 55.4433
229.2047, 53.32912
229.7014, 53.41626
230.2032, 55.61972
230.7043, 62.62163
231.207, 60.66761
231.7138, 60.38947
232.2165, 57.79858
232.7186, 57.89795
233.2217, 56.0887
233.7218, 56.10036
234.2234, 58.57191
234.7247, 56.09727
235.2269, 56.17757
235.7319, 56.23579
236.2323, 56.5151
236.7391, 54.54061
237.2375, 51.5957
237.7407, 51.06352
238.2445, 53.06179
238.7457, 57.76801
239.247, 57.87321
239.7515, 58.2485
240.2517, 58.71238
240.7521, 60.71195
241.2547, 62.28466
241.7564, 57.88343
242.2605, 58.61822
242.7635, 61.49061
243.2636, 62.00289
243.7657, 62.45022
244.2668, 57.74178
244.7678, 62.23784
245.2717, 62.34843
245.7737, 66.87471
246.2762, 66.96582
246.7769, 67.02995
247.2792, 67.12381
247.7867, 67.18979
248.2939, 62.90818
248.7967, 62.67611
249.2991, 60.58661
249.8042, 60.38059
250.2995, 60.46198
250.7997, 62.75343
251.3002, 65.39726
251.8007, 63.61737
252.3026, 63.77756
252.8047, 61.1128
253.3047, 63.1806
253.8117, 63.25117
254.3135, 63.95079
254.8148, 62.18254
255.316, 60.14149
255.8187, 57.31113
256.3216, 59.58643
256.8243, 64.09874
257.3322, 66.64909
257.8344, 61.63451
258.3355, 59.33834
258.8386, 59.77301
259.3401, 62.31437
259.8436, 59.51876
260.3531, 57.46309
260.8569, 59.74988
261.3638, 63.65087
261.8659, 65.78981
262.3718, 63.55145
262.8754, 63.67486
263.3762, 64.23116
263.8775, 64.64537
264.3801, 62.47539
264.8824, 62.84757
265.3858, 63.27863
265.8917, 65.87342
266.3951, 67.83977
266.8965, 70.11541
267.3988, 70.25682
267.9015, 70.66925
268.4019, 70.72938
268.9046, 66.40877
269.4075, 66.50909
269.9129, 66.90523
270.4155, 66.23834
270.9181, 66.00311
271.4181, 66.10318
271.9209, 66.99934
272.4247, 65.23692
272.9249, 65.31837
273.4258, 65.42232
273.9261, 67.37135
274.4325, 64.80594
274.9354, 67.09747
275.4357, 67.14641
275.9378, 65.06832
276.4403, 62.8273
276.9433, 61.01353
277.4451, 65.80033
277.9516, 68.07343
278.4574, 65.20915
278.9552, 65.33279
279.4562, 65.74022
279.9572, 63.25809
280.4586, 60.79445
280.959, 61.22588
281.4602, 61.66045
281.9604, 66.83687
282.4608, 64.43699
282.9633, 58.72884
283.4664, 56.1218
283.9726, 60.57779
284.4735, 63.67181
284.9744, 65.64256
285.475, 61.33876
285.9782, 63.95139
286.4792, 62.55023
286.9805, 67.08001
287.4825, 67.20641
287.9834, 69.5135
288.486, 67.38612
288.9915, 67.20161
289.4923, 64.7572
289.9945, 64.86642
290.497, 65.27889
290.9986, 64.84856
291.5074, 67.44378
292.0027, 67.55897
292.5045, 69.56382
293.0051, 70.00804
293.5116, 70.10643
294.0118, 68.33713
294.513, 65.89088
295.0175, 66.16455
295.5192, 68.4642
296.025, 68.67583
296.5347, 68.48304
297.0411, 66.37408
297.5378, 68.99606
298.0399, 71.63071
298.5423, 71.73194
299.043, 71.50986
299.5454, 71.58144
300.047, 73.39127
300.5475, 73.45905
301.0601, 72.5594
301.5553, 75.21988
302.0557, 75.32163
302.5578, 75.43577
303.0608, 71.31525
303.561, 66.58822
304.0643, 61.93176
304.5659, 63.81464
305.0723, 71.16723
305.5771, 68.72189
306.0779, 69.53468
306.5792, 67.39868
307.0795, 70.05078
307.5803, 70.11484
308.0817, 72.62485
308.582, 74.72784
