ATTEMPT, Time, Performance
3,169.7564,23.64142
3,179.7564,24.78049
3,189.7591,24.03648
3,199.7602,26.211
3,209.7627,26.19749
3,219.7723,27.54124
3,229.7732,26.90093
3,239.7733,27.00945
3,249.7739,26.72801
3,259.7765,24.72976
3,269.7789,26.33054
3,279.779,26.4985
3,289.7813,26.60542
3,299.7819,25.11357
3,309.7849,29.63912
3,319.7877,29.63912
3,329.7879,26.65601
3,339.7937,26.63745
3,349.7969,25.2953
3,359.7989,27.04502
3,369.799,26.57412
3,379.8,28.67879
3,389.8011,28.68933
3,399.8014,29.40475
3,409.8069,29.1835
3,419.8069,29.08421
3,429.8127,29.0929
3,439.8141,25.23256
3,449.8145,27.64372
3,459.8156,28.22443
3,469.8156,28.43129
3,479.8586,27.24511
3,489.845,28.95881
3,499.848,28.8004
3,509.8513,28.3235
3,519.8518,29.06707
3,529.8542,26.18996
3,539.856,29.21154
3,549.8578,29.17222
3,559.8584,30.92552
3,569.8588,30.81388
3,579.8611,29.90246
3,589.8618,30.66174
3,599.8627,30.20489
ATTEMPT, Time, Performance
